knockffa.0.arrow,§cPfeil
knockffa.0.booster,§cBooster
knockffa.0.bow,§cBogen
knockffa.0.killed,§l§c✖ §r§4Gestorben
knockffa.0.killed.sub,%rank_prefix%%player% §8| §c-1 Coin
knockffa.0.killedself,%rank_prefix%%player% §9hat sich selber mit dem Bogen abgeschossen. Das ist belastend.
knockffa.0.nomoney,§cDu hast nicht genügend Geld
knockffa.0.score.coins,Coins
knockffa.0.score.coins.color,§7
knockffa.0.score.deaths,Tode
knockffa.0.score.deaths.color,§7
knockffa.0.score.kd,KD
knockffa.0.score.kd.color,§7
knockffa.0.score.kills,Kills
knockffa.0.score.kills.color,§7
knockffa.0.score.sub,Teamspeak-Server
knockffa.0.score.sub.value,§7Galaxycore.net
knockffa.0.settings,§eEinstellungen
knockffa.0.settings.alreadybought,§eBereits gekauft
knockffa.0.settings.booster.bought,§eDu hast den Booster für 5 min erhalten!
knockffa.0.settings.booster.lore,Schleudert dich für 5 min nach vorne
knockffa.0.settings.booster.price,§7150 Coins
knockffa.0.settings.buy,§eKaufen:
knockffa.0.settings.coins,Coins
knockffa.0.settings.messageset.0.name,Standart-Nachrichten
knockffa.0.settings.messageset.1.name,Spezial-Nachrichten 1
knockffa.0.settings.messageset.2.name,Spezial-Nachrichten 2
knockffa.0.settings.messageset.3.name,Spezial-Team-Nachrichten
knockffa.0.settings.setchosen,§eSet Ausgewählt
knockffa.0.streak,§c%player% §fhat nun einen Streak von %d!
knockffa.0.sword,§cSchwert
knockffa.0.wonfight,§l§a✓ §r§4+5 Coins
knockffa.0.wonfight.sub,%rank_prefix%%player%
knockffa.1.arrow,§cPfeil
knockffa.1.booster,§cBooster
knockffa.1.bow,§cBogen
knockffa.1.killed,§l§c✖ §r§8%rank_prefix%%player% | §c-1 Coin
knockffa.1.killed.sub,§4hat deine Ehre entwendet!
knockffa.1.killedself,%rank_prefix%%player% §5hat sich selber mit dem Bogen abgeschossen. Das ist belastend.
knockffa.1.nomoney,§cDu hast nicht genügend Geld
knockffa.1.score.coins,Coins
knockffa.1.score.coins.color,§7
knockffa.1.score.deaths,Tode
knockffa.1.score.deaths.color,§7
knockffa.1.score.kd,KD
knockffa.1.score.kd.color,§7
knockffa.1.score.kills,Kills
knockffa.1.score.kills.color,§7
knockffa.1.score.sub,Teamspeak-Server
knockffa.1.score.sub.value,§7Galaxycore.net
knockffa.1.settings,§eEinstellungen
knockffa.1.settings.alreadybought,§eBereits gekauft
knockffa.1.settings.booster.bought,§eDu hast den Booster für 5 min erhalten!
knockffa.1.settings.booster.lore,Schleudert dich für 5 min nach vorne
knockffa.1.settings.booster.price,§7150 Coins
knockffa.1.settings.buy,§eKaufen:
knockffa.1.settings.coins,Coins
knockffa.1.settings.messageset.0.name,Standart-Nachrichten
knockffa.1.settings.messageset.1.name,Spezial-Nachrichten 1
knockffa.1.settings.messageset.2.name,Spezial-Nachrichten 2
knockffa.1.settings.messageset.3.name,Spezial-Team-Nachrichten
knockffa.1.settings.setchosen,§eSet Ausgewählt
knockffa.1.streak,§c%player% §2hat %d mal eure Ehre entwendet!
knockffa.1.sword,§cSchwert
